variant,algo,seed,step,return_smooth
default,a2c,123,203058,79.95023569023586
default,a2c,123,208091,80.0
default,a2c,123,213124,80.0
default,a2c,123,218157,6.308888888888642
default,a2c,123,223189,72.24000000000001
default,a2c,123,228222,77.26464646464626
default,a2c,123,233255,80.0
default,a2c,123,238288,50.70776936026887
default,a2c,123,243321,78.69642424242409
default,a2c,123,248354,78.38
default,a2c,123,253386,79.98
default,a2c,123,258419,80.0
default,a2c,123,263452,79.82
default,a2c,123,268485,80.0
default,a2c,123,273518,80.0
default,a2c,123,278551,79.94
default,a2c,123,283583,79.96
default,a2c,123,288616,79.96
default,a2c,123,293649,79.66
default,a2c,123,298682,80.0
default,a2c,123,303715,77.24957575757568
default,a2c,123,308748,79.94094276094305
default,a2c,123,313780,77.8
default,a2c,123,318813,77.8
default,a2c,123,323846,80.0
default,a2c,123,328879,77.8
default,a2c,123,333912,75.28
default,a2c,123,338945,77.34
default,a2c,123,343978,79.96
default,a2c,123,349010,79.82
default,a2c,123,354043,79.88
default,a2c,123,359076,80.0
default,a2c,123,364109,80.0
default,a2c,123,369142,77.36847853535306
default,a2c,123,374175,79.8
default,a2c,123,379207,79.96
default,a2c,123,384240,79.97999999999999
default,a2c,123,389273,77.78
default,a2c,123,394306,77.78
default,a2c,123,399339,75.60000000000001
default,a2c,123,404372,77.19999999999999
default,a2c,123,409404,79.94
default,a2c,123,414437,79.96
default,a2c,123,419470,77.7
default,a2c,123,424503,79.92
default,a2c,123,429536,77.46000000000001
default,a2c,123,434569,80.0
default,a2c,123,439601,79.92
default,a2c,123,444634,78.36
default,a2c,123,449667,78.35782828282676
default,a2c,123,454700,79.28
default,a2c,123,459733,80.0
default,a2c,123,464766,80.0
default,a2c,123,469798,70.96000000000001
default,a2c,123,474831,80.0
default,a2c,123,479864,79.98
default,a2c,123,484897,76.4
default,a2c,123,489930,80.0
default,a2c,123,494963,80.0
default,a2c,123,499996,80.0
default,a2c,2024,2008,43.14
default,a2c,2024,7038,77.52363636363637
default,a2c,2024,12068,78.22513368983957
default,a2c,2024,17098,79.02145454545456
default,a2c,2024,22128,79.28
default,a2c,2024,27158,79.58
default,a2c,2024,32189,79.47999999999999
default,a2c,2024,37219,77.06863636363636
default,a2c,2024,42249,79.74000000000001
default,a2c,2024,47279,79.82545454545455
default,a2c,2024,52309,77.08
default,a2c,2024,57340,79.56
default,a2c,2024,62370,79.74181818181818
default,a2c,2024,67400,77.42
default,a2c,2024,72430,70.87196969696967
default,a2c,2024,77460,76.73409090909092
default,a2c,2024,82490,79.64484848484845
default,a2c,2024,87521,78.83538461538458
default,a2c,2024,92551,77.19965909090911
default,a2c,2024,97581,79.82
default,a2c,2024,102611,77.28
default,a2c,2024,107641,76.6
default,a2c,2024,112672,75.14
default,a2c,2024,117702,80.0
default,a2c,2024,122732,79.88
default,a2c,2024,127762,74.72278787878787
default,a2c,2024,132792,74.46000000000001
default,a2c,2024,137822,74.62
default,a2c,2024,142853,79.97999999999999
default,a2c,2024,147883,74.79999999999998
default,a2c,2024,152913,77.34
default,a2c,2024,157943,79.92
default,a2c,2024,162973,79.97999999999999
default,a2c,2024,168004,77.78625
default,a2c,2024,173034,78.79333333333412
default,a2c,2024,178064,80.0
default,a2c,2024,183094,79.84
default,a2c,2024,188124,74.72
default,a2c,2024,193154,72.16
default,a2c,2024,198185,79.85999999999999
default,a2c,2024,203215,79.91999999999999
default,a2c,2024,208245,77.24
default,a2c,2024,213275,77.59263636363657
default,a2c,2024,218305,79.96
default,a2c,2024,223336,79.62
default,a2c,2024,228366,74.46
default,a2c,2024,233396,80.16
default,a2c,2024,238426,76.40615384615396
default,a2c,2024,243456,77.16
default,a2c,2024,248486,79.56
default,a2c,2024,253517,74.7809625668449
default,a2c,2024,258547,79.96
default,a2c,2024,263577,79.94
default,a2c,2024,268607,77.19999999999999
default,a2c,2024,273637,79.8
default,a2c,2024,278668,79.91999999999999
default,a2c,2024,283698,67.9
default,a2c,2024,288728,79.94
default,a2c,2024,293758,79.96
default,a2c,2024,298788,79.74
default,a2c,2024,303818,80.08
default,a2c,2024,308849,74.47999999999999
default,a2c,2024,313879,80.0
default,a2c,2024,318909,79.96
default,a2c,2024,323939,80.03999999999999
default,a2c,2024,328969,77.4
default,a2c,2024,334000,77.28
default,a2c,2024,339030,79.95612121212135
default,a2c,2024,344060,75.05272727272705
default,a2c,2024,349090,75.57999999999998
default,a2c,2024,354120,77.38
default,a2c,2024,359150,77.8
default,a2c,2024,364181,79.66
default,a2c,2024,369211,79.42363636363297
default,a2c,2024,374241,79.96
default,a2c,2024,379271,79.96
